id,id_str,screen_name,location,age,in_out_ratio,favorites_ratio,status_ratio,account_rep,avg_tpd,hashtags_ratio,user_mentions_ratio,mal_url_ratio,cce,spam_ratio,bot
3765991992,3765991992,moonshotbot,Mare Tranquilitatis,93083098.17846203,2447.0,0.0,3.873390626821927,0.9995915032679739,3.9682539682539684,0.0,0.0,0.0,23.262255658461875,0.0,1
2355397358,2355397358,YourADickRD,,143903886.68782997,1,0.0,1.168980240018955,1.0,1.9841269841269842,0.0,1.0,0.0,5.058703963761798,0.0,1
28668072,28668072,Aerie,,298131730.1977079,93.78698752228163,4.457197491587953,6.438592761418047,0.9894500286786208,7.462686567164179,0.301,0.881,0.0,231.82245375561757,0.057,1
1641959030,1641959030,FavThingsBot,Swiss/Austrian Border,161427686.32404804,1,0.0,4.576701907979581,1.0,6.7114093959731544,0.0,0.0,0.0,43.47712697896076,0.011,1
3091533046,3091533046,nondenotative,,110638618.21450496,268.5,0.0,37.29834000637391,0.9962894248608535,47.61904761904762,0.0,0.0,0.0,3.4299876502769453,0.994,1
2810297102,2810297102,MoMARobot,,126191952.63528109,3320.0,0.0,3.680107885660546,0.9996988858777477,3.937007874015748,0.0,0.0,0.0,6.936485636059629,0.193,1
1203840834,1203840834,netflix_bot,Silicon Valley,175484946.4988191,6591.0,0.07976068762168263,5.6886110171661795,0.9998483009708737,7.092198581560283,0.0,0.0,0.0,43.477126978960754,0.03,1
3243820756,3243820756,LandsatBot,Heliosynchronous orbit,105735560.50506091,1091.0,0.0,19.39056255252807,0.9990842490842491,23.25581395348837,0.0,0.0,0.0,42.07682964449622,0.002,1
2363567209,2363567209,meiosis_papers,"Kyoto, Japan",143455436.90064812,1,0.0036136657571160897,3.2685606773115032,1.0,4.651162790697675,0.001,0.004,0.0,73.87133866493723,0.072,1
3345817235,3345817235,emojiidioms_txt,,101672455.65289998,120.0,0.0,47.70283130130793,0.9917355371900827,45.45454545454545,0.0,0.0,0.0,54.525003720851295,0.389,1
563838090,563838090,HundredZeros,Amazon Kindle,201481858.326447,845.8333333333334,0.0038594045461905007,7.435786092327032,0.9988191300925015,8.403361344537815,0.003,0.0,0.0,142.13841707083597,0.197,1
2349478550,2349478550,Botstache,,144234277.11958504,1,0.0,1.0327198428463864,1.0,6.25,0.0,0.774,0.0,65.24148478920084,0.99,1
