id,id_str,screen_name,age,in_out_ratio,favorites_ratio,status_ratio,account_rep,avg_tpd,hashtags_ratio,user_mentions_ratio,url_ratio,avg_cosine_sim,avg_tweet_sentiment,bot
2236870705,2236870705,NutcrackerRedux,150289507.43309402,0.9263157894736842,0.0,14.863792144601156,0.4808743169398907,18.867924528301888,0.0,0.0,0.0,0.159473835572295,-0.005048611111111112,1
2293904707,2293904707,plzasm,146994663.87041402,105.5,0.0017633293153314924,0.24510277483107742,0.9906103286384976,2.76158940397351,0.004796163069544364,0.9112709832134293,0.01,0.212897756981784,0.01734848484848485,1
1945438417,1945438417,randomchordbot,155659195.24948812,115.0,0.0,10.390144940732748,0.9913793103448276,21.73913043478261,0.0,0.0,0.0,1.0000000000000002,0.0,1
2954717074,2954717074,RylGme,116731652.31671095,1,0.251654109378135,0.26867776971842056,1.0,1.912280701754386,1.4036697247706422,1.7798165137614679,0.305,0.12946507553227704,0.12461217983405481,1
2799462085,2799462085,ANH_Papers,126599669.08507109,1,0.0,0.3228065309755154,1.0,1.5508196721311476,0.0,0.006342494714587738,1.0,0.22605322596087113,-0.009342821067821064,1
3124663659,3124663659,PatriciaPlake,109271964.57614493,0.45880629805931894,0.01581375430287851,0.15339341673792153,0.3145080321285141,1.564516129032258,0.020618556701030927,0.6649484536082474,0.37628865979381443,0.1595720777863536,0.13429361732196776,1
2792755474,2792755474,TodayFinally,124827498.16982102,26.5,0.0,0.825741134856134,0.9636363636363636,1.0080645161290323,0.002,0.001,0.0,0.37385854470577673,0.036114772727272745,1
2569181545,2569181545,everysnake,134004494.04956102,602.5,0.0,46.629289892986755,0.9983429991714996,45.45454545454545,0.0,0.0,0.0,0.4512311557788944,-0.0055000000000000005,1
2792438832,"""2792438832""","""SlideSource""",126905079.48982096,0.5854266140751505,0.230799272320296,5.10277447209622,0.3692549430404609,3.5460992907801416,0.337,0.791,0.69,0.2410253379485285,0.06749337121212122,1
3325527710,3325527710,thinkpiecebot,96549924.69049811,318.31632653061223,0.383900869097703,27.307074639898385,0.9968683092065318,27.027027027027028,0.0,0.028,0.02,0.05211742487937784,0.0007294982794982829,1
