id,id_str,screen_name,location,age,in_out_ratio,favorites_ratio,status_ratio,account_rep,avg_tpd,hashtags_ratio,user_mentions_ratio,mal_url_ratio,bot
9624742,9624742,StateDept,"Washington, DC",343663636.50976706,11403.366890380314,0.006033806838161265,14.22117990030959,0.9999123142906913,10.869565217391305,0.908,1.689,0.0,0
2955142070,2955142070,lucarivera16,"Dublin, United States",116532674.4619019,1,0.14235320760121561,0.16459589628890556,1,1.728813559322034,1.4852941176470589,1.803921568627451,0,1
2482834658,2482834658,_all_of_us_,in a machine.,137168823.0550089,1,0,3.822116340458426,1,15.873015873015873,0,0,0,1
3333573622,3333573622,KatamariItems,,102005431.88150597,4727.5,0.011011178319452232,2.5876269050712746,0.9997885164428466,4.608294930875576,0.003,0.078,0,1
2996105102,2996105102,AutophagyPapers,,114460469.02375293,1,0.018871144058930554,11.076606716829879,1,8,0,0,0,1
3271095818,3271095818,HSC_papers,,100389091.2578249,45.666666666666664,0,4.106167262151302,0.9785714285714285,4.672897196261682,0,0,0,1
2717905134,2717905134,everycheese,cheese land,129142645.10930109,48,0,0.07426206883003732,0.9795918367346939,3.9642857142857144,0,0,0,1
2826073429,2826073429,gyr_papers,,125292867.14365792,1,0,0.25514620846968267,1,1.3857677902621723,0.005405405405405406,0,0,1
1027583707,1027583707,AjstyleAlen,,180525839.03684902,0.013333333333333334,0,0.00047860184703179246,0.013157894736842105,1,0,0,0,1
394991274,394991274,Rupesh93505,,217519047.46942592,0,0.01588826376451363,0.04329551875829964,0,1.4342105263157894,0.1743119266055046,1.1926605504587156,0,1
3032363298,3032363298,hard_to_yelp,,112248017.66682792,1,0,18.01770082036544,1,22.727272727272727,0,0,0,1
2568851552,2568851552,fuckeverywordza,,133841191.87903595,1,0,20.4772115484223,1,43.47826086956522,0,0,0,1
2835723644,2835723644,ecin_gnihtaseod,,124630407.02847409,1,0,14.909029379768285,1,37.03703703703704,0,0.032,0,1
1918202534,1918202534,tofu_product,,156192919.3410759,0.8205200413029193,0.18309664817487756,36.51035670539711,0.45070640404248735,7.352941176470588,0.177,0.97,0,1
2475875424,2475875424,onetruewiseman,AMERICA,137539590.5314169,5,0.002512731051944333,3.9135786134032986,0.8333333333333334,33.333333333333336,0.413,0.004,0,1
1909219404,1909219404,everycolorbot,the RGB color space,156452980.22220802,1,0.0011044851926411024,23.8673727703779,1,23.25581395348837,0,0,0,1
4040207472,4040207472,himawari8bot,Space,90692775.57851005,1617,0.008574001567818979,10.322145220813182,0.9993819530284301,6.410256410256411,0,0.001,0,1
3369547257,3369547257,emoji__polls,‰÷•ü,100130614.6175251,241.5,0.00431436480890621,19.572547392083912,0.9958762886597938,23.25581395348837,0,0,0,1
2555847008,2555847008,everytrolltroll,,134406069.81978202,27,0,0.09321007612824429,0.9642857142857143,72.5,0,2.268965517241379,0,1
2520449720,2520449720,hyphizer,#botALLY,135746491.29271102,86,0,3.6177553859645855,0.9885057471264368,5.9523809523809526,0,0,0,1
2886558632,2886558632,par_papers,,121817254.08459997,1,0,18.513791145166792,1,9.345794392523365,0,0,0,1
2787206222,2787206222,everyMTGlegend,The Coast Where Wizards Chill,126968182.26288104,0.8636363636363636,0,0.12861174909309492,0.4634146341463415,3.5384615384615383,0,0.010869565217391304,0,1
2364079946,2364079946,assembly_papers,,143177222.640378,1,0.013275854671202063,18.261541548178037,1,27.027027027027028,0,0.001,0,1
3369559252,3369559252,DeepDreamThis,"London, England",100134964.72483897,570,0,20.879755695178954,0.9982486865148862,41.666666666666664,0.577,0.956,0,1
