id,id_str,screen_name,age,in_out_ratio,favorites_ratio,status_ratio,account_rep,avg_tpd,hashtags_ratio,user_mentions_ratio,url_ratio,avg_cosine_similarity,avg_tweet_sentiment,std_deviation_friends,std_deviation_followers,unique_urls_ratio,tweet_url_similarity,user_description_len,user_description_sentiment,special_char_in_description,tweet_count,description,bot
4303727112,4303727112,mattlieberisbot,88621120.44218493,1,0,1.1309267982611957,1,3.5587188612099645,0,0,0.0,0.40612985205455676,0.06891372294372293,nan,2.1865925665390163e+17,nan,nan,92,0.23214285714285715,22,1163,"Retired • Inspired by the smart, funny folks at @replyall and @gimletmedia • A bot by @ashur",1
3063139353,3063139353,sc_papers,111771716.38134289,1,0,1.297873958605637,1,2.577319587628866,0,0,1.0,0.5208468602085174,-0.014005802068302054,nan,4.010979653380246e+17,1.0,0.75,0,0.0,0,1759,,1
545449655,545449655,DeportMalkin,203240871.38343406,2.0242424242424244,0.8140882238585312,1.357380521556287,0.6693386773547094,4.032258064516129,0.543,0.653,0.044,0.05169801088947004,-0.013362917568542576,6.525471650568548e+16,1.3057763736344213e+17,0.9772727272727273,0.18897427876895095,29,0.0,8,3192,LET'S GO FLYERS AND EAGLES!!!,0
9624742,9624742,StateDept,343663636.50976706,11403.366890380314,0.006033806838161265,14.22117990030959,0.9999123142906913,10.869565217391305,0.908,1.689,0.177,0.09563443235834328,0.0875890658068783,1.8711625865940877e+17,4.848418962253253e+17,0.8248587570621468,0.3809747108055935,121,0.65,23,57013,Welcome to the official U.S. Department of State Twitter account. Follow @SecPompeo for more from the Secretary of State.,0
2955142070,2955142070,lucarivera16,116532674.4619019,1,0.14235320760121561,0.16459589628890556,1,1.728813559322034,1.4852941176470589,1.803921568627451,0.3284313725490196,0.13875250048043172,0.09288957502192802,3.8325254457818266e+17,4.06601720922043e+17,0.9701492537313433,0.16605452801318626,38,0.5,5,222,Inspiring cooks everywhere since 1956.,1
2482834658,2482834658,_all_of_us_,137168823.0550089,1,0,3.822116340458426,1,15.873015873015873,0,0,0.0,0.04063734066966961,0.0471982188644689,nan,1.604761985173675e+17,nan,nan,15,0.0,3,6068,bot by @rubicon,1
3333573622,3333573622,KatamariItems,102005431.88150597,4727.5,0.011011178319452232,2.5876269050712746,0.9997885164428466,4.608294930875576,0.003,0.078,0.027,0.4492118347698092,0.004274339826839823,1158206228.0,2.7407725213032592e+17,0.9629629629629629,0.26228313964705563,95,0.0,19,3061,[Bot rolled up by @BeachEpisode] Cataloguing every item from the Katamari series one at a time.,1
2996105102,2996105102,AutophagyPapers,114460469.02375293,1,0.018871144058930554,11.076606716829879,1,8,0,0,1.0,0.47984545767351283,0.0006164393939393954,nan,4.1847248908208416e+17,1.0,0.75,55,0.0,9,14910,Twitterbot for #Autophagy papers. Curated by @SoniaHall,1
3271095818,3271095818,HSC_papers,100389091.2578249,45.666666666666664,0,4.106167262151302,0.9785714285714285,4.672897196261682,0,0,1.0,0.4840338133613468,0.00986650974025974,1574781388.038454,4.2300130620738464e+17,1.0,0.75,0,0.0,0,4868,,1
2717905134,2717905134,everycheese,129142645.10930109,48,0,0.07426206883003732,0.9795918367346939,3.9642857142857144,0,0,0.0,0.39859210393944117,0.03786737286737286,nan,2.1430932473391782e+17,nan,nan,116,0.0,23,111,"cheese cheese cheese // updates every 4 hours // by @thricedotted, with inspiration from cheese and @mattlaschneider",1
2826073429,2826073429,gyr_papers,125292867.14365792,1,0,0.25514620846968267,1,1.3857677902621723,0.005405405405405406,0,1.0,0.2955230204194133,-0.0021159286907318398,nan,3.7606883479794464e+17,1.0,0.75,107,0.0,19,381,"Literature bot searching arXiv, biorXiv, PeerJ & PubMed for supercoiling papers. Maintained by @red_gravel.",1
394991274,394991274,Rupesh93505,217519047.46942592,0,0.01588826376451363,0.04329551875829964,0,1.4342105263157894,0.1743119266055046,1.1926605504587156,0.05357142857142857,0.02451188416098651,0.11097132034632033,9.103227067870483e+16,nan,0.8333333333333334,0.263921065562303,0,0.0,0,112,,1
3032363298,3032363298,hard_to_yelp,112248017.66682792,1,0,18.01770082036544,1,22.727272727272727,0,0,0.0,0.27362180184589985,-0.2081008523883511,nan,2.7393479404951526e+17,nan,nan,0,0.0,0,23408,,1
2568851552,2568851552,fuckeverywordza,133841191.87903595,1,0,20.4772115484223,1,43.47826086956522,0,0,0.0,0.5018728728728729,-0.3976999999999945,nan,3.163839346128646e+17,nan,nan,99,-0.3,22,31721,"Why wait until 2020 for the Z's? Fucking every word in the English language backwards, from Z to A.",1
2835723644,2835723644,ecin_gnihtaseod,124630407.02847409,1,0,14.909029379768285,1,37.03703703703704,0,0.032,0.0,0.24148795427454936,0.5184811922799499,nan,8.601690740579862e+16,nan,nan,86,0.4,19,21506,"straight-up rip-off of @doesathing_nice, except it's a bot // reports to @thricedotted",1
1918202534,1918202534,tofu_product,156192919.3410759,0.8205200413029193,0.18309664817487756,36.51035670539711,0.45070640404248735,7.352941176470588,0.177,0.97,0.0,0.020178764995029738,0.05990091810966809,6.977149244157888e+16,1.5869230269078237e+17,nan,nan,88,0.0,22,66003,Follow me to chat. // Reflecting your personality back at you since 2013. // By @zhaytee,1
2475875424,2475875424,onetruewiseman,137539590.5314169,5,0.002512731051944333,3.9135786134032986,0.8333333333333334,33.333333333333336,0.413,0.004,0.029,0.021830132496751822,0.07859337649453714,186017134.56071356,1204612873.8123133,0.9655172413793104,0.22258157588180427,112,-0.16666666666666666,19,6230,The Truest Wisdom (aka trying to make even less sense) from leading Republican presidential candidates for 2016.,1
1909219404,1909219404,everycolorbot,156452980.22220802,1,0.0011044851926411024,23.8673727703779,1,23.25581395348837,0,0,0.0,0.6000000000006762,0.0,nan,4.51503506045981e+17,nan,nan,91,0.25,22,43897,colors.  all of 'em. | developed by @vogon; feel free to send him feedback/feature requests,1
