id,id_str,screen_name,age,in_out_ratio,favorites_ratio,status_ratio,account_rep,avg_tpd,hashtags_ratio,user_mentions_ratio,url_ratio,avg_cosine_sim,avg_tweet_sentiment,std_dev_friends,std_dev_followers,unique_urls_ratio,tweet_url_similarity,user_desc_len,user_desc_sentiment,special_char_count,tweet_count,bot
4303727112,4303727112,mattlieberisbot,88621120.44218493,1,0,1.1309267982611957,1,3.5587188612099645,0,0,0.0,0.47995131914247696,0.11586796536796536,nan,2.196554696351167e+17,0.0,0.0,92,0.23214285714285715,22,1160,1
3063139353,3063139353,sc_papers,111771716.38134289,1,0,1.297873958605637,1,2.577319587628866,0,0,1.0,0.5159871437536464,-0.00503815536315536,nan,3.9870685988553824e+17,1.0,0.75,0,0.0,0,1705,1
545449655,545449655,DeportMalkin,203240871.38343406,2.0242424242424244,0.8140882238585312,1.357380521556287,0.6693386773547094,4.032258064516129,0.543,0.653,0.055,0.08890656657945431,0.027934072871572856,6.525471650568548e+16,1.309585042162229e+17,0.9772727272727273,0.18897427876895095,29,0.0,8,3193,0
9624742,9624742,StateDept,343663636.50976706,11403.366890380314,0.006033806838161265,14.22117990030959,0.9999123142906913,10.869565217391305,0.908,1.689,0.2,0.0948725201532773,0.07860533910533912,1.8023465952094102e+17,4.821530051785553e+17,0.7637362637362637,0.38754193897940975,121,0.65,23,56664,0
2955142070,2955142070,lucarivera16,116532674.4619019,1,0.14235320760121561,0.16459589628890556,1,1.728813559322034,1.4852941176470589,1.803921568627451,0.335,0.139961716619993,0.08037236652236658,4.095502138640404e+17,4.06601720922043e+17,0.9701492537313433,0.16605452801318626,38,0.5,5,222,1
2482834658,2482834658,_all_of_us_,137168823.0550089,1,0,3.822116340458426,1,15.873015873015873,0,0,0.0,0.04284612697941039,0.07118795787545786,nan,1.6002111537704925e+17,0.0,0.0,15,0.0,3,6068,1
3333573622,3333573622,KatamariItems,102005431.88150597,4727.5,0.011011178319452232,2.5876269050712746,0.9997885164428466,4.608294930875576,0.003,0.078,0.0,0.5028491937150738,0.01330952380952381,1158206228.0,2.7077000326334922e+17,0.9629629629629629,0.26228313964705563,95,0.0,19,3061,1
2996105102,2996105102,AutophagyPapers,114460469.02375293,1,0.018871144058930554,11.076606716829879,1,8,0,0,1.0,0.479149579006252,0.010476605339105341,nan,4.1757754948078163e+17,1.0,0.75,55,0.0,9,14744,1
3271095818,3271095818,HSC_papers,100389091.2578249,45.666666666666664,0,4.106167262151302,0.9785714285714285,4.672897196261682,0,0,1.0,0.4732718008053277,0.002666774891774891,1574781388.038454,4.230013062071827e+17,1.0,0.75,0,0.0,0,4797,1
2717905134,2717905134,everycheese,129142645.10930109,48,0,0.07426206883003732,0.9795918367346939,3.9642857142857144,0,0,0.0,0.39859210393944117,0.03786737286737286,0.0,2.1430932473391782e+17,0.0,0.0,116,0.0,23,111,1
2826073429,2826073429,gyr_papers,125292867.14365792,1,0,0.25514620846968267,1,1.3857677902621723,0.005405405405405406,0,1.0,0.28425314953245584,0.0028003246753246737,nan,3.7606883479794464e+17,1.0,0.75,107,0.0,19,376,1
1027583707,1027583707,AjstyleAlen,180525839.03684902,0.013333333333333334,0,0.00047860184703179246,0.013157894736842105,1,0,0,0.0,1.0,0.0,4.6889577289977384e+16,3.902205806562976e+17,0.0,0.0,0,0.0,0,1,1
394991274,394991274,Rupesh93505,217519047.46942592,0,0.01588826376451363,0.04329551875829964,0,1.4342105263157894,0.1743119266055046,1.1926605504587156,0.045871559633027525,0.02483959710728274,0.10668612732832916,9.310832448012917e+16,nan,0.8,0.25187526546339034,0,0.0,0,110,1
3032363298,3032363298,hard_to_yelp,112248017.66682792,1,0,18.01770082036544,1,22.727272727272727,0,0,0.0,0.2658001937846077,-0.22361444805194775,nan,2.7393479404951526e+17,0.0,0.0,0,0.0,0,23408,1
2568851552,2568851552,fuckeverywordza,133841191.87903595,1,0,20.4772115484223,1,43.47826086956522,0,0,0.0,0.5091959798994974,-0.4000000000000003,nan,3.150682048774947e+17,0.0,0.0,99,-0.3,22,31721,1
2835723644,2835723644,ecin_gnihtaseod,124630407.02847409,1,0,14.909029379768285,1,37.03703703703704,0,0.032,0.0,0.256099053392506,0.5154150883838372,nan,8.601690740579862e+16,0.0,0.0,86,0.4,19,21506,1
1918202534,1918202534,tofu_product,156192919.3410759,0.8205200413029193,0.18309664817487756,36.51035670539711,0.45070640404248735,7.352941176470588,0.177,0.97,0.0,0.029202329653900627,0.05069313672438671,7.053720902626833e+16,1.576822555866241e+17,0.0,0.0,88,0.0,22,66003,1
2475875424,2475875424,onetruewiseman,137539590.5314169,5,0.002512731051944333,3.9135786134032986,0.8333333333333334,33.333333333333336,0.413,0.004,0.145,0.033269976855967186,0.1004086565055315,186017134.56071356,1204612873.8123133,0.9655172413793104,0.22258157588180427,112,-0.16666666666666666,19,6230,1
1909219404,1909219404,everycolorbot,156452980.22220802,1,0.0011044851926411024,23.8673727703779,1,23.25581395348837,0,0,0.0,0.600000000000217,0.0,nan,4.490736976208134e+17,0.0,0.0,91,0.25,22,43437,1
4040207472,4040207472,himawari8bot,90692775.57851005,1617,0.008574001567818979,10.322145220813182,0.9993819530284301,6.410256410256411,0,0.001,0.995,0.6789341444059469,0.0025,1563100947.8445292,2.8744662246336288e+17,1.0,0.8251469521778646,136,0.0,30,10835,1
3369547257,3369547257,emoji__polls,100130614.6175251,241.5,0.00431436480890621,19.572547392083912,0.9958762886597938,23.25581395348837,0,0,0.0,0.0,0.0,1052356241.5,3.9437633839932326e+17,0.0,0.0,81,-0.5,17,22902,1
2555847008,2555847008,everytrolltroll,134406069.81978202,27,0,0.09321007612824429,0.9642857142857143,72.5,0,2.268965517241379,0.0,0.2168050273091905,0.08839080459770114,0.0,1327804342.5090072,0.0,0.0,104,-0.5,18,145,1
2520449720,2520449720,hyphizer,135746491.29271102,86,0,3.6177553859645855,0.9885057471264368,5.9523809523809526,0,0,0.0,0.0001685202708840841,0.0019166666666666663,1269522837.0,2.4959260873647674e+17,0.0,0.0,45,0.13636363636363635,10,5684,1
2886558632,2886558632,par_papers,121817254.08459997,1,0,18.513791145166792,1,9.345794392523365,0,0,1.0,0.21276045408135894,0.011261844636844638,nan,3.8474203584772026e+17,1.0,0.75,130,0.0,26,26194,1
2787206222,2787206222,everyMTGlegend,126968182.26288104,0.8636363636363636,0,0.12861174909309492,0.4634146341463415,3.5384615384615383,0,0.010869565217391304,0.9891304347826086,0.26333801003158325,0.0385525283894849,1279169581.3550856,1.9535919469963917e+17,0.9505494505494505,0.9092951247644028,74,0.55,16,189,1
2364079946,2364079946,assembly_papers,143177222.640378,1,0.013275854671202063,18.261541548178037,1,27.027027027027028,0,0.001,1.0,0.24815856312548346,-0.030921897546897538,821302024.7912867,2.953633135050869e+17,1.0,0.75,36,0.0,5,30262,1
